x,y,z,yaw,velocity,change_flag
-14881.2,-84718.6,41.8139,-2.83326,40.0000,0
-14884.1,-84719.6,41.8442,-2.83008,40.0000,0
-14886.5,-84720.4,42.0907,-2.8281,40.0000,0
-14889.7,-84721.6,41.9148,-2.82997,40.0000,0
-14892.4,-84722.5,42.0035,-2.82594,40.0000,0
-14895.1,-84723.5,42.0158,-2.82468,40.0000,0
-14898,-84724.6,42.0274,-2.82863,40.0000,0
-14900.4,-84725.4,42.2032,-2.82796,40.0000,0
-14903.6,-84726.5,42.0925,-2.82986,40.0000,0
-14906.3,-84727.5,42.191,-2.82945,40.0000,0
-14909.1,-84728.5,42.2027,-2.83029,40.0000,0
-14911.9,-84729.5,42.1857,-2.83326,40.0000,0
-14914.2,-84730.3,42.3224,-2.85069,40.0000,0
-14917.3,-84731.3,42.1797,-2.83942,40.0000,0
-14919.7,-84732.1,42.2211,-2.8274,40.0000,0
-14922.3,-84733.1,42.2016,-2.8251,40.0000,0
-14924.9,-84734,42.1637,-2.81693,40.0000,0
-14927,-84734.8,42.2341,-2.81745,40.0000,0
-14929.7,-84735.8,42.1095,-2.81264,40.0000,0
-14931.8,-84736.7,42.1254,-2.80414,40.0000,0
-14934.1,-84737.6,42.1192,-2.79747,40.0000,0
-14936.4,-84738.5,42.1017,-2.79269,40.0000,0
-14938.4,-84739.3,42.1776,-2.78435,40.0000,0
-14941.2,-84740.6,42.1742,-2.77827,40.0000,0
-14944,-84741.9,42.2602,-2.77165,40.0000,0
-14946.7,-84743.2,42.3374,-2.75969,40.0000,0
-14949.4,-84744.5,42.4662,-2.75331,40.0000,0
-14952.1,-84745.8,42.5493,-2.7466,40.0000,0
-14954.9,-84747.2,42.6683,-2.73255,40.0000,0
-14957.6,-84748.6,42.7762,-2.72325,40.0000,0
-14960.3,-84750.1,42.8905,-2.71446,40.0000,0
-14963,-84751.7,42.9752,-2.71369,40.0000,0
-14965.8,-84753.3,43.0337,-2.69903,40.0000,0
-14968.5,-84754.9,43.1242,-2.68851,40.0000,0
-14971.2,-84756.6,43.1624,-2.6783,40.0000,0
-14974,-84758.4,43.2259,-2.67086,40.0000,0
-14976.7,-84760.1,43.286,-2.66632,40.0000,0
-14979.6,-84762.1,43.2952,-2.6586,40.0000,0
-14982.4,-84763.9,43.2254,-2.64527,40.0000,0
-14985,-84765.7,43.5025,-2.64311,40.0000,0
-14987.6,-84767.8,43.4553,-2.62938,40.0000,0
-14990.4,-84769.8,43.3933,-2.62176,40.0000,0
-14993.2,-84771.8,43.3863,-2.62477,40.0000,0
-14995.9,-84773.9,43.3563,-2.62084,40.0000,0
-14998.6,-84775.9,43.3004,-2.61322,40.0000,0
-15001.2,-84777.9,43.2487,-2.60354,40.0000,0
-15003.8,-84780,43.1907,-2.59143,40.0000,0
-15006.3,-84782,43.1148,-2.57947,40.0000,0
-15008.4,-84784.2,42.9557,-2.56703,40.0000,0
-15010.1,-84786.3,43.0326,-2.55715,40.0000,0
-15012.3,-84788.4,43.0241,-2.54913,40.0000,0
-15014.8,-84790.5,42.9843,-2.53917,40.0000,0
-15016.9,-84792.5,43.0591,-2.52874,40.0000,0
-15019.4,-84794.5,42.9406,-2.51668,40.0000,0
-15021.6,-84796.5,42.9191,-2.50602,40.0000,0
-15023.8,-84798.6,42.8643,-2.49539,40.0000,0
-15026.1,-84800.7,42.7675,-2.48625,40.0000,0
-15028,-84802.8,42.7816,-2.47813,40.0000,0
-15030.4,-84805.1,42.5817,-2.4704,40.0000,0
-15032.5,-84807.3,42.5336,-2.46411,40.0000,0
-15034.7,-84809.7,42.4308,-2.45592,40.0000,0
-15036.9,-84812.1,42.2499,-2.4476,40.0000,0
-15038.9,-84814.4,42.2367,-2.44081,40.0000,0
-15041.4,-84816.9,42.0601,-2.43817,40.0000,0
-15043.5,-84819.3,41.9883,-2.43474,40.0000,0
-15045.8,-84821.9,41.8838,-2.43292,40.0000,0
-15048.2,-84824.6,41.7349,-2.43164,40.0000,0
